Lampen_ID;XREF;YREF
00242;567528.29;5951975.39
00243;567543.57;5951970.00
00244;567558.83;5951964.62
00245;567574.09;5951959.25
00246;567729.97;5951904.20
00247;567711.58;5951910.65
00248;567918.99;5951988.58
00249;567907.80;5951971.90
00250;567895.82;5951955.62
00251;567883.22;5951940.02
00252;567870.09;5951924.93
00253;567856.52;5951910.68
00254;567842.04;5951896.91
00255;567825.31;5951885.72
00256;567806.46;5951881.25
00257;567787.00;5951884.25
00258;567767.89;5951890.84
00259;567749.16;5951897.40
00260;567897.28;5952338.86
00261;567913.07;5952260.77
00262;567909.29;5952280.30
00263;567905.36;5952299.73
00264;567901.37;5952319.28
00265;567916.75;5952241.20
00266;567920.37;5952221.45
00267;567924.65;5952202.30
00268;567927.98;5952182.67
00269;567931.26;5952163.19
00270;567934.58;5952143.57
00271;567937.74;5952123.87
00272;567940.08;5952103.79
00273;567941.60;5952083.90
00274;567942.20;5952063.99
00275;567940.46;5952044.04
00276;567935.91;5952024.58
00277;567928.83;5952005.93
00278;567884.17;5952397.40
00279;567888.58;5952378.17
00280;567892.95;5952358.48
00281;567805.64;5952597.43
00282;567820.86;5952584.53
00283;567833.68;5952569.25
00284;567844.01;5952552.09
00285;567850.81;5952533.38
00286;567856.23;5952514.10
00287;567860.46;5952494.67
00288;567865.34;5952475.50
00289;567870.25;5952455.91
00290;567874.97;5952436.45
00291;567879.65;5952417.06
00292;567728.63;5952611.64
00293;567748.56;5952611.53
00294;567768.51;5952610.04
00295;567668.95;5952606.72
00296;567688.77;5952609.12
00297;567708.67;5952610.77
00298;567474.96;5952516.75
00299;567488.09;5952531.90
00300;567429.11;5952451.24
00301;567439.53;5952468.26
00302;567450.85;5952485.09
00303;567462.57;5952501.17
00304;567399.79;5952392.76
00305;567407.86;5952411.01
00306;567417.62;5952430.49
00307;567391.65;5952371.83
00308;567386.01;5952355.63
00309;567378.44;5952330.27
00310;567372.58;5952306.49
00311;567368.15;5952283.15
00312;567389.61;5952367.72
00313;567381.62;5952343.27
00314;567374.72;5952317.61
00315;567370.03;5952296.20
00316;567366.25;5952274.13
00317;567364.54;5952257.28
00318;567361.53;5952232.50
